pcontact,abcd_const_I_30,abcd_const_I_50,abcd_const_I_70,abcd_const_S_70,abcd_const_D_70,abcd_const_R_70,abcd_var_I_30,abcd_var_I_50,abcd_var_I_70,abcd_var_S_70,abcd_var_D_70,abcd_var_R_70,ws_const_I_30,ws_const_I_50,ws_const_I_70,ws_const_S_70,ws_const_D_70,ws_const_R_70,ws_var_I_30,ws_var_I_50,ws_var_I_70,ws_var_S_70,ws_var_D_70,ws_var_R_70
0.1,1.625,1.515625,1.375,99977.09375,0.125,16.578125,2.109375,1.734375,1.765625,99974.703125,0.203125,18.09375,1.890625,1.53125,1.5,99975.6875,0.09375,17.5,1.90625,2.328125,2.265625,99969.875,0.265625,20.984375
0.105,2.3125,2.71875,2.421875,99969.09375,0.1875,21.921875,2.21875,2.5625,3.1875,99967.296875,0.15625,22.78125,2.640625,3.3125,4.234375,99958.8125,0.140625,27.625,2.25,1.796875,2.5,99970.859375,0.15625,19.640625
0.11,2.34375,3.078125,2.796875,99965.796875,0.234375,23.359375,2.953125,3.125,4.65625,99957.46875,0.21875,28.3125,2.6875,3.78125,4.5625,99956.203125,0.171875,29.640625,2.625,2.796875,3.125,99964.90625,0.1875,24.046875
0.115,3.53125,5.46875,8.203125,99937.28125,0.328125,38.59375,3.203125,4.96875,7.09375,99943.1875,0.21875,34.90625,3.03125,4,6.390625,99948.296875,0.25,31.953125,3.640625,6.234375,7.671875,99935.4375,0.40625,41.890625
0.12,3.765625,4.953125,9.09375,99933.78125,0.453125,38.25,4.0625,6.1875,10.515625,99922.78125,0.34375,45.4375,3.375,6.4375,9.640625,99929.875,0.375,41.984375,4.28125,6.59375,9.96875,99925.1875,0.296875,45.078125
0.125,3.859375,5.6875,10.59375,99926.6875,0.25,41.078125,3.859375,7.015625,14.140625,99910.859375,0.34375,48.28125,4.4375,9.546875,19.078125,99886.1875,0.40625,61.28125,4.296875,6.828125,13.6875,99911.203125,0.296875,49.25
0.13,3.984375,8.703125,17.140625,99894.734375,0.265625,56.421875,4.78125,11.359375,25.71875,99854.796875,0.421875,70.96875,4.4375,8.3125,18.1875,99890.0625,0.46875,56.296875,4.375,9.515625,19.15625,99883.859375,0.25,60.171875
0.135,4.296875,11.59375,25.171875,99855.875,0.4375,69.515625,6.0625,15.609375,35.8125,99807.203125,0.5625,93.515625,5,13.765625,33.15625,99819.15625,0.609375,84.015625,5.953125,13.59375,35.46875,99812.890625,0.65625,88.609375
0.14,5.3125,13.578125,33.40625,99815.15625,0.671875,82.46875,5.65625,16.203125,41.546875,99781.421875,0.734375,97.859375,5.265625,15.28125,39.03125,99793.0625,0.5625,90.703125,6.765625,18.046875,46.453125,99754.015625,0.640625,110.34375
0.145,8.46875,27.421875,78.71875,99602.140625,0.859375,160.9375,6.5625,23.125,73.109375,99636.375,1.15625,141.546875,6.359375,17.765625,56.40625,99713.328125,0.9375,116.9375,8.828125,29.578125,84.65625,99574.984375,1.203125,174.53125
0.15,9.578125,32.125,111.875,99466.015625,1.28125,197.796875,10.203125,29.953125,101.625,99509.96875,1.296875,184.09375,7.96875,28.078125,97.3125,99528.328125,1.453125,174.15625,6.53125,24.140625,81.71875,99603.015625,1.015625,147.359375
0.155,7.75,30.234375,120.109375,99431.140625,1.421875,195.203125,9.1875,34.6875,141.03125,99349.265625,1.765625,221.71875,7.5625,30.171875,122.28125,99438.09375,1.34375,191.078125,11.75,39.828125,155.703125,99264.265625,1.859375,255.1875
0.16,8.75,37.25,156.8125,99278.515625,1.75,233.5,8.328125,38.203125,175.765625,99209.625,2.046875,247.578125,8.84375,36.3125,152.84375,99298.515625,1.53125,226.78125,9.6875,38.890625,176.265625,99204.734375,2,253.09375
0.165,11,53.0625,265.984375,98815.703125,2.234375,344.390625,11.46875,56.140625,268.90625,98804.65625,2.71875,359.890625,11.859375,59.21875,282.9375,98744.765625,2.40625,377.140625,12.15625,59.640625,285.453125,98715.75,2.625,379
0.17,11.828125,67.21875,373.1875,98383.390625,2.96875,443,14.734375,80.828125,460.296875,98001.84375,3.78125,544.125,9.375,50.765625,291.296875,98734.78125,2.375,343.421875,13.453125,70.25,392.640625,98287.328125,3.359375,472.875
0.175,13.890625,76.609375,475.984375,97948.328125,3.296875,526.828125,13.46875,80.75,496.171875,97864.96875,3.765625,549.140625,14.546875,84.5625,529.328125,97712.515625,4.03125,586.78125,16.09375,93.859375,592.265625,97475.953125,4.078125,652.8125
0.18,13.71875,88.671875,624.46875,97331.0625,4.28125,638.0625,15.953125,105.078125,720.828125,97003.890625,4.515625,730.34375,15.578125,103.484375,701.234375,97041.84375,5.171875,712.140625,19.953125,135.171875,956.3125,95999.59375,6.40625,950.15625
0.185,18.96875,141.765625,1088.578125,95500.3125,6.734375,1017.734375,18.046875,133.546875,1017.921875,95776.3125,6.328125,956.125,19.140625,130.890625,1032.65625,95752.875,5.96875,963.484375,20.84375,162.78125,1267.75,94760.953125,8.0625,1175.90625
0.19,15.59375,116.84375,1038.5625,95726.296875,5.609375,895.734375,23.3125,173.5625,1475.484375,94014.234375,8.03125,1301.84375,20.5,156.09375,1353.375,94456.9375,7.65625,1170.84375,24.421875,198.421875,1693.265625,93128.5,9.75,1467.828125
0.195,19.890625,179.09375,1759.625,92909.734375,8.609375,1428.8125,25.984375,240.296875,2300.78125,90876.265625,12.265625,1879.265625,19.609375,184.375,1770.65625,92863.453125,9.828125,1444.09375,29.828125,257.640625,2446.171875,90292.140625,13.40625,2030.328125
0.2,21.921875,194.0625,2122.734375,91588.765625,10.078125,1610.140625,30.328125,312.3125,3333.53125,86969.796875,16.25,2584.875,21.890625,231.1875,2531.8125,89963.125,12.484375,1933.671875,27.84375,278.84375,2939.59375,88404.09375,14.921875,2296.53125
