pcontact,day_30,day_50,day_70
0.08,1,5,5
0.08,2,5,6
0.08,9,20,28
0.08,0,0,0
0.08,4,8,7
0.08,1,1,0
0.08,2,3,12
0.08,1,0,0
0.08,5,9,9
0.08,2,1,0
0.08,5,4,13
0.08,1,2,0
0.08,0,0,0
0.08,1,0,0
0.08,6,8,0
0.08,0,0,0
0.08,1,0,0
0.08,3,2,0
0.08,0,0,0
0.08,1,0,0
0.08,4,1,7
0.08,0,0,0
0.08,1,0,0
0.08,1,0,0
0.08,2,0,0
0.08,1,1,0
0.08,2,0,0
0.08,3,9,11
0.08,0,0,0
0.08,1,0,0
0.08,5,8,15
0.08,0,0,0
0.08,0,8,19
0.08,2,3,2
0.08,9,7,9
0.08,4,6,6
0.08,0,0,0
0.08,0,0,0
0.08,0,0,0
0.08,3,0,0
0.08,2,1,0
0.08,0,0,0
0.08,2,16,26
0.08,3,1,0
0.08,1,0,0
0.08,2,12,24
0.08,2,0,0
0.08,3,3,1
0.08,0,1,0
0.08,1,0,0
0.08,1,0,0
0.08,0,0,0
0.08,2,0,0
0.08,3,6,5
0.08,0,0,0
0.08,0,0,0
0.08,4,3,9
0.08,0,1,1
0.08,1,0,0
0.08,0,0,0
0.08,2,0,0
0.08,0,0,0
0.08,2,0,0
0.08,0,2,16
0.085,3,2,0
0.085,9,43,96
0.085,2,0,0
0.085,7,26,97
0.085,1,0,0
0.085,1,6,29
0.085,1,0,0
0.085,4,0,0
0.085,16,51,50
0.085,2,0,0
0.085,1,0,0
0.085,1,0,0
0.085,0,0,0
0.085,2,0,0
0.085,5,16,31
0.085,3,1,0
0.085,1,0,0
0.085,1,0,0
0.085,3,0,1
0.085,2,1,2
0.085,4,0,0
0.085,4,1,0
0.085,7,32,121
0.085,0,0,0
0.085,1,0,0
0.085,1,0,0
0.085,0,4,34
0.085,10,41,122
0.085,9,3,0
0.085,2,0,0
0.085,2,0,0
0.085,2,1,0
0.085,1,0,0
0.085,8,23,46
0.085,1,6,5
0.085,1,4,1
0.085,4,14,17
0.085,9,17,73
0.085,3,0,0
0.085,1,0,0
0.085,0,0,0
0.085,1,1,7
0.085,5,13,119
0.085,2,0,0
0.085,2,0,0
0.085,1,0,0
0.085,6,14,56
0.085,3,2,1
0.085,0,0,0
0.085,0,0,0
0.085,0,0,0
0.085,10,39,56
0.085,1,0,0
0.085,1,0,0
0.085,4,1,3
0.085,1,0,0
0.085,4,1,0
0.085,0,0,0
0.085,4,1,13
0.085,3,0,0
0.085,5,16,22
0.085,2,19,28
0.085,6,7,31
0.085,1,0,0
0.09,7,0,0
0.09,1,7,60
0.09,16,71,246
0.09,7,23,89
0.09,0,0,0
0.09,8,19,47
0.09,4,2,0
0.09,2,1,0
0.09,2,4,30
0.09,6,13,23
0.09,3,28,46
0.09,7,20,58
0.09,7,27,110
0.09,3,15,53
0.09,0,0,0
0.09,1,0,0
0.09,3,1,13
0.09,4,0,0
0.09,6,3,2
0.09,1,0,0
0.09,8,0,0
0.09,1,0,0
0.09,2,0,0
0.09,0,9,23
0.09,0,0,0
0.09,0,0,0
0.09,12,16,33
0.09,7,8,17
0.09,3,7,14
0.09,3,4,0
0.09,5,1,0
0.09,1,0,0
0.09,3,25,51
0.09,1,2,1
0.09,3,13,35
0.09,6,11,25
0.09,23,115,371
0.09,0,0,0
0.09,1,0,0
0.09,3,10,30
0.09,1,0,0
0.09,4,0,0
0.09,2,0,0
0.09,0,10,9
0.09,1,0,0
0.09,2,3,4
0.09,1,0,0
0.09,0,0,0
0.09,4,5,18
0.09,0,0,0
0.09,1,0,0
0.09,0,0,0
0.09,4,16,65
0.09,7,41,92
0.09,1,0,0
0.09,7,23,18
0.09,5,2,0
0.09,1,26,66
0.09,2,0,0
0.09,2,1,0
0.09,2,2,3
0.09,0,0,0
0.09,10,36,123
0.09,1,0,0
0.095,27,81,302
0.095,1,1,0
0.095,2,8,8
0.095,9,67,154
0.095,11,55,122
0.095,4,62,261
0.095,11,36,106
0.095,1,1,0
0.095,13,16,16
0.095,2,0,0
0.095,5,18,89
0.095,5,10,27
0.095,2,0,1
0.095,1,1,0
0.095,3,6,16
0.095,7,0,1
0.095,19,143,465
0.095,1,0,0
0.095,0,0,0
0.095,8,24,94
0.095,0,0,0
0.095,24,15,42
0.095,4,47,152
0.095,6,22,36
0.095,2,0,0
0.095,2,0,0
0.095,1,0,0
0.095,16,62,202
0.095,0,0,0
0.095,0,1,0
0.095,13,69,185
0.095,5,1,0
0.095,0,0,0
0.095,6,5,0
0.095,4,9,12
0.095,0,0,0
0.095,0,0,0
0.095,0,0,0
0.095,2,0,0
0.095,1,0,0
0.095,5,14,46
0.095,11,20,45
0.095,1,0,0
0.095,0,0,0
0.095,10,23,92
0.095,5,10,2
0.095,4,2,0
0.095,0,0,0
0.095,2,0,0
0.095,8,43,131
0.095,1,0,0
0.095,5,28,65
0.095,0,0,0
0.095,3,2,7
0.095,12,88,286
0.095,0,0,0
0.095,0,40,163
0.095,2,5,20
0.095,3,11,45
0.095,2,4,8
0.095,7,5,20
0.095,4,0,0
0.095,1,0,0
0.095,4,18,35
0.1,0,0,0
0.1,1,0,0
0.1,0,0,0
0.1,7,35,101
0.1,0,1,0
0.1,0,0,0
0.1,8,19,51
0.1,0,0,0
0.1,13,62,243
0.1,3,0,0
0.1,4,7,39
0.1,9,26,95
0.1,11,87,416
0.1,0,0,0
0.1,0,0,0
0.1,5,10,38
0.1,7,44,188
0.1,0,0,0
0.1,2,1,0
0.1,18,172,681
0.1,12,25,84
0.1,1,0,0
0.1,0,0,0
0.1,1,0,0
0.1,6,21,59
0.1,5,5,30
0.1,0,0,0
0.1,18,36,123
0.1,0,0,0
0.1,48,318,1232
0.1,0,0,0
0.1,0,0,0
0.1,0,0,0
0.1,5,0,0
0.1,3,0,0
0.1,7,15,27
0.1,0,0,0
0.1,18,93,232
0.1,0,0,0
0.1,31,116,501
0.1,1,3,4
0.1,11,92,362
0.1,1,1,1
0.1,1,24,146
0.1,10,51,263
0.1,5,37,126
0.1,8,31,126
0.1,5,14,72
0.1,0,5,7
0.1,4,4,2
0.1,0,23,138
0.1,0,0,0
0.1,11,90,474
0.1,3,8,35
0.1,1,0,0
0.1,0,0,0
0.1,9,50,193
0.1,13,45,224
0.1,6,27,113
0.1,2,2,0
0.1,0,0,0
0.1,4,0,0
0.1,3,27,185
0.1,0,0,0
0.105,6,28,129
0.105,4,2,54
0.105,1,1,14
0.105,3,5,16
0.105,2,0,0
0.105,2,0,17
0.105,8,73,340
0.105,13,56,252
0.105,0,0,0
0.105,10,105,571
0.105,5,3,18
0.105,7,93,396
0.105,1,0,0
0.105,3,0,0
0.105,1,0,0
0.105,3,1,1
0.105,18,110,643
0.105,3,3,29
0.105,0,0,0
0.105,2,48,279
0.105,0,0,0
0.105,20,156,936
0.105,2,0,0
0.105,7,55,293
0.105,16,81,301
0.105,0,0,0
0.105,19,68,366
0.105,13,28,67
0.105,0,0,0
0.105,14,45,316
0.105,6,38,238
0.105,5,45,289
0.105,17,40,227
0.105,34,194,1032
0.105,0,8,35
0.105,4,17,88
0.105,12,40,97
0.105,2,67,297
0.105,0,8,42
0.105,5,24,82
0.105,0,0,0
0.105,1,1,0
0.105,5,0,0
0.105,51,138,701
0.105,8,9,91
0.105,1,1,0
0.105,14,63,234
0.105,11,103,332
0.105,14,52,363
0.105,8,84,592
0.105,0,0,0
0.105,1,0,0
0.105,7,54,299
0.105,3,57,308
0.105,2,5,7
0.105,14,11,62
0.105,0,2,9
0.105,25,101,551
0.105,0,0,0
0.105,1,0,0
0.105,12,47,182
0.105,2,1,0
0.105,13,94,366
0.105,2,16,87
0.11,47,469,2413
0.11,4,9,76
0.11,25,103,653
0.11,16,141,591
0.11,12,104,752
0.11,3,5,3
0.11,11,22,141
0.11,10,135,734
0.11,0,0,0
0.11,8,8,51
0.11,2,18,110
0.11,17,92,605
0.11,6,48,242
0.11,50,299,1525
0.11,1,36,112
0.11,19,180,1293
0.11,38,268,1393
0.11,0,0,0
0.11,10,92,513
0.11,6,30,241
0.11,15,80,433
0.11,10,160,1132
0.11,22,115,716
0.11,29,396,2228
0.11,8,28,120
0.11,12,45,345
0.11,0,0,0
0.11,1,0,0
0.11,9,44,209
0.11,0,0,0
0.11,1,20,135
0.11,0,0,0
0.11,0,0,0
0.11,6,61,479
0.11,11,122,693
0.11,6,56,300
0.11,4,35,221
0.11,3,1,0
0.11,13,25,60
0.11,1,0,0
0.11,22,212,1239
0.11,14,102,535
0.11,10,64,306
0.11,24,174,1030
0.11,13,76,409
0.11,18,112,590
0.11,0,0,0
0.11,4,30,77
0.11,4,1,12
0.11,3,9,59
0.11,13,67,451
0.11,0,0,0
0.11,5,109,606
0.11,4,4,46
0.11,0,0,0
0.11,24,209,1088
0.11,11,38,302
0.11,18,87,448
0.11,28,79,462
0.11,4,8,39
0.11,5,43,251
0.11,12,97,428
0.11,9,65,198
0.11,21,119,499
0.115,1,0,6
0.115,23,98,698
0.115,0,0,0
0.115,4,15,166
0.115,1,0,0
0.115,4,1,0
0.115,3,7,36
0.115,24,257,1805
0.115,53,369,2458
0.115,0,0,0
0.115,0,1,20
0.115,4,46,187
0.115,7,3,29
0.115,4,15,94
0.115,20,303,1990
0.115,12,86,510
0.115,19,78,594
0.115,13,68,498
0.115,2,0,0
0.115,0,23,163
0.115,19,73,372
0.115,1,0,0
0.115,17,246,2082
0.115,0,0,0
0.115,53,294,2032
0.115,8,4,17
0.115,3,20,173
0.115,3,18,156
0.115,8,66,544
0.115,1,1,0
0.115,0,0,0
0.115,7,39,196
0.115,15,226,1110
0.115,0,0,0
0.115,0,0,0
0.115,20,62,452
0.115,2,9,189
0.115,0,0,0
0.115,0,0,0
0.115,5,5,25
0.115,2,17,107
0.115,1,13,61
0.115,2,35,228
0.115,19,140,810
0.115,6,31,129
0.115,3,7,108
0.115,9,66,632
0.115,41,305,1884
0.115,1,0,0
0.115,3,0,0
0.115,21,158,1308
0.115,1,0,0
0.115,7,57,320
0.115,2,0,0
0.115,8,38,292
0.115,20,115,1014
0.115,3,49,636
0.115,8,37,332
0.115,3,2,41
0.115,1,26,120
0.115,1,0,0
0.115,1,0,0
0.115,5,31,178
0.115,2,0,0
0.12,2,0,0
0.12,1,7,51
0.12,27,134,836
0.12,11,66,160
0.12,39,567,3792
0.12,33,230,1745
0.12,19,116,697
0.12,0,0,0
0.12,4,116,698
0.12,27,279,1863
0.12,46,427,3066
0.12,26,270,2061
0.12,40,374,2538
0.12,37,292,2013
0.12,3,2,68
0.12,5,17,78
0.12,57,364,2754
0.12,34,71,849
0.12,14,85,759
0.12,0,0,0
0.12,12,98,953
0.12,9,130,1012
0.12,31,192,2219
0.12,9,2,0
0.12,1,6,71
0.12,15,82,664
0.12,20,263,2407
0.12,1,4,100
0.12,4,19,120
0.12,2,0,0
0.12,73,736,4957
0.12,20,305,2130
0.12,8,32,494
0.12,13,10,197
0.12,40,310,2727
0.12,0,17,45
0.12,0,0,0
0.12,0,0,0
0.12,2,0,0
0.12,16,115,966
0.12,1,1,0
0.12,58,834,5070
0.12,4,56,473
0.12,15,237,1864
0.12,20,205,1680
0.12,54,382,2751
0.12,0,0,0
0.12,1,0,0
0.12,13,24,329
0.12,5,36,288
0.12,3,0,0
0.12,2,0,0
0.12,1,0,0
0.12,3,5,62
0.12,0,1,0
0.12,6,52,283
0.12,3,1,6
0.12,27,128,1281
0.12,0,0,0
0.12,13,104,656
0.12,1,0,0
0.12,1,0,0
0.12,73,807,4169
0.12,14,105,855
0.125,38,492,3597
0.125,10,127,1173
0.125,3,29,363
0.125,23,165,1877
0.125,6,16,179
0.125,4,25,271
0.125,24,313,2795
0.125,41,215,1807
0.125,30,393,3389
0.125,3,28,269
0.125,7,170,1501
0.125,17,182,2024
0.125,12,158,1972
0.125,69,548,3841
0.125,47,660,4643
0.125,3,0,1
0.125,18,207,1801
0.125,0,0,0
0.125,19,278,2535
0.125,8,81,582
0.125,3,4,61
0.125,4,1,0
0.125,15,99,1045
0.125,3,29,224
0.125,66,891,6246
0.125,19,316,2717
0.125,23,81,632
0.125,59,1005,6796
0.125,2,1,0
0.125,21,106,864
0.125,2,42,348
0.125,11,47,418
0.125,0,0,0
0.125,17,139,1177
0.125,51,564,4841
0.125,110,1063,6569
0.125,4,12,274
0.125,11,110,807
0.125,4,20,227
0.125,6,39,160
0.125,64,1019,6735
0.125,33,325,3134
0.125,5,135,1658
0.125,76,1036,6388
0.125,50,682,4425
0.125,12,306,2883
0.125,2,0,0
0.125,1,15,282
0.125,22,127,1207
0.125,5,1,0
0.125,9,373,2804
0.125,11,60,340
0.125,8,22,279
0.125,24,280,2974
0.125,1,0,0
0.125,8,10,125
0.125,2,93,1035
0.125,44,1057,6556
0.125,42,657,5344
0.125,71,522,4402
0.125,17,77,823
0.125,3,7,82
0.125,56,686,5232
0.125,11,166,2259
0.13,17,222,1914
0.13,5,64,921
0.13,16,330,3503
0.13,17,230,2507
0.13,7,90,1234
0.13,11,152,1210
0.13,14,35,379
0.13,25,512,4700
0.13,19,125,1785
0.13,41,559,5127
0.13,65,971,7106
0.13,17,151,1510
0.13,56,675,5570
0.13,61,678,5662
0.13,35,166,1383
0.13,34,477,4261
0.13,23,362,3891
0.13,11,210,2791
0.13,19,67,846
0.13,19,191,2332
0.13,9,190,2627
0.13,10,61,578
0.13,5,8,48
0.13,6,83,686
0.13,26,251,2385
0.13,4,7,58
0.13,1,0,0
0.13,6,24,347
0.13,4,86,1404
0.13,33,478,5112
0.13,69,694,5877
0.13,3,29,277
0.13,4,26,82
0.13,14,144,2261
0.13,12,170,2418
0.13,10,169,1914
0.13,18,221,2494
0.13,48,702,5986
0.13,24,246,2414
0.13,17,144,1235
0.13,4,8,19
0.13,10,349,4398
0.13,21,314,4195
0.13,60,575,5173
0.13,28,493,4982
0.13,0,0,0
0.13,48,408,4358
0.13,19,94,1203
0.13,0,0,0
0.13,11,115,1628
0.13,41,541,5152
0.13,22,279,3302
0.13,43,649,5980
0.13,86,1023,8043
0.13,26,137,1641
0.13,8,93,1664
0.13,4,30,258
0.13,26,49,463
0.13,10,121,1316
0.13,1,2,195
0.13,3,50,433
0.13,9,275,2895
0.13,2,0,0
0.13,12,229,2389
