pcontact,day_30_mean,day_50_mean,day_70_mean,day_70_function
0.08,1.78125,2.453125,3.609375,0.7309609064980159
0.085,3.078125,6.34375,16.578125,16.53611343625992
0.09,3.5625,9.6875,27.734375,55.81162806919643
0.095,4.8125,16.765625,50.875,130.37227182539684
0.1,5.328125,25.421875,103.296875,635.1560911148314
0.105,7.234375,35.640625,182.015625,875.6049068390377
0.11,10.96875,77.375,431.15625,4174.964890252976
0.115,8.21875,55.625,387.53125,5890.481631324405
0.12,15.921875,136.1875,982.140625,26049.037136501734
0.125,21.71875,254.875,1984.265625,69309.27095346602
0.13,20.765625,247.40625,2445.65625,67346.64197358632
